,Actual Value,RF,GB,ST
5673,333.3300000000001,210.63520770429892,302.9445122248825,314.00525404588956
5364,76.86999999999999,63.765504939174164,62.66417923383919,63.5850611970358
2641,258.3299999999999,185.510517435927,252.13931620927633,255.80353386268848
1485,65.16999999999999,67.3231929401334,64.20328943562224,64.15131303034084
217,89.99999999999997,158.16782510908422,152.40132574274844,157.95736499292275
1488,33.32999999999999,70.19892025005072,68.70130558666217,69.94075891613721
4649,60.159999999999975,67.67663262322354,71.72283564685287,72.95635575493269
960,60.870000000000026,110.59511134636863,62.606143649327386,59.21444995066996
3130,75.0,157.99770275526507,183.0709976713064,179.513896713705
4506,140.84999999999997,184.24233989383993,176.0103642425747,186.36872993172727
132,229.99999999999994,176.6959032979643,170.02701901600415,172.53398295271785
1406,160.00000000000003,146.82419445832932,131.30398299927577,131.22799306429133
4635,289.4700000000001,195.3355840980791,213.02601527430033,202.20728848027426
5018,116.00000000000003,81.47289942266853,102.8055381814593,99.76323755998085
6021,50.0,64.25351066949085,53.97202372116953,52.83854782993338
1436,45.99999999999999,63.63711182306142,60.86624900322825,60.49751809651072
5485,75.0,67.09011495984565,64.8653267107582,64.64332021594704
3497,36.480000000000004,64.0194885908951,50.1282063269361,47.77030418429824
5223,53.19,61.938982453058166,52.72387926041328,51.313091388552344
561,66.37999999999998,72.46492119099405,69.71270186809004,69.08904432685897
2333,387.0999999999999,185.31223635639353,215.94374548026005,210.31660891641408
2252,80.48999999999998,67.05882475600954,73.00910636907392,74.84603353923204
3607,285.7099999999999,191.0875452790627,214.56425747272013,225.49221978046188
5888,52.529999999999994,60.03881674374341,51.9026213185907,50.850019775423256
3764,181.25,187.03882848391567,191.59810823354425,192.9628056574551
2937,157.49999999999994,156.69040436605775,148.1525109914579,145.4315987028143
1559,193.74999999999994,166.84285035468582,173.73567263661008,173.6477485633247
263,188.51999999999998,194.58299859756985,197.46429746193823,197.47266871237105
6101,70.64000000000001,63.37552008564823,60.352888708595444,61.2797466810224
1047,301.27999999999986,199.37660461311938,222.95829342301718,235.6826299260294
1221,44.120000000000005,63.55128867351196,52.26582205449356,52.453127800582756
3375,61.90000000000001,63.373549452198404,62.540882926877984,62.95272822973511
6355,61.46000000000002,66.32618404586597,63.53789335175634,63.726117370823786
472,268.0,194.29777992329733,227.19856225023676,228.5170344344411
6044,84.41999999999997,73.97697351226878,75.73437875895536,72.86145109862086
755,241.66999999999996,174.36362096328438,186.79921410710259,189.77071365129262
233,97.49999999999999,84.9942675122817,103.95427032318888,104.70754811424284
5281,44.290000000000006,61.27381537067652,50.9838934563567,49.14337225155083
3313,72.02999999999999,72.98342994550916,71.53510053190872,67.82729408779706
1002,148.61000000000007,171.6616978195751,161.13585931863318,156.67928851817572
4513,64.93000000000002,63.63630987533975,63.05879953895085,62.79933252897199
5257,52.61,62.15699478714068,49.232787166876975,49.37515494569638
2197,58.81999999999999,64.78807779546744,61.843347790916816,62.55837281424278
2523,133.32999999999996,159.43045769114775,134.19404785981385,137.27896448726864
5424,319.2299999999999,203.61814917188747,265.3316021916252,280.39667242018857
1345,157.57999999999996,96.76198165289931,159.55150088688123,176.52605787219906
2742,210.66999999999996,153.85933919129357,177.01358715967754,186.84091871707128
5867,168.86999999999992,205.65987418445062,245.32523208928333,252.26427913049594
4581,31.529999999999994,41.32901081470426,25.308939456682605,24.537272453872635
1411,239.99999999999994,196.1920799902896,237.96016969241003,243.79070865612778
2323,248.44,192.1223544621686,243.95899539147118,249.70010613091821
2594,205.26000000000005,185.4083181820186,202.8080373342969,197.09578033820534
5309,39.81,57.06773535516483,45.64003744996504,45.21501553484902
80,55.47,62.743354244554766,61.300265359907954,62.316245347490884
2370,102.7,119.8299374267163,117.9945569850026,114.10784515803667
3994,55.21999999999999,63.53126443042454,63.45367359408296,64.31396051406485
230,65.12000000000003,64.28777527945097,59.907913503160586,60.888422017122544
2981,273.52999999999986,187.90168086528962,236.77240605635714,242.48267318426383
996,43.64000000000001,93.3051087912186,106.3719096951277,78.58069128299135
4063,74.47,65.08651042188585,72.71986853089544,74.99151002432377
6291,67.65000000000003,74.5586353160787,73.98830295438808,74.5220177689191
1375,186.44000000000005,90.68614234551991,131.54904961350894,143.54480047803946
3355,97.49999999999999,149.0882859865584,134.79604852139406,137.83031749164695
5058,59.46000000000002,64.62727350929316,61.78377128021846,61.644309877301225
5695,65.38,72.25413173043565,81.19073892982722,79.28485157546164
752,104.40999999999998,172.4218107958147,137.6620905806329,133.51979229745888
4957,71.08999999999997,72.75238114559846,67.86092790081337,65.56761602981133
2741,50.0,69.39289187745233,58.19483960429889,58.65054267627609
1158,244.07,196.65303430532416,246.31163008247944,236.1282142251032
3403,62.49999999999999,75.07185996283302,75.44679055629832,77.45732357846283
5090,51.20000000000001,79.43142472583314,89.22550329939635,103.21587705715422
5040,74.06999999999998,73.70074351120262,80.39265577854904,78.75865979416328
4570,150.0,84.76000037179905,121.43639523462568,126.1434351021288
4437,71.99999999999999,66.91797699020911,74.50513111076144,75.97384371754363
4196,174.99999999999991,87.4857769458374,136.41142341033108,144.44066042303538
1414,59.45000000000003,60.89419937044305,50.52627960175701,48.989201682338596
1992,99.00000000000004,73.16235834925601,69.32458077878007,64.60184935941949
1097,63.660000000000025,63.97457423200282,59.15297029314946,60.69479392265704
3276,52.11000000000001,65.3781198989966,54.95835246513746,56.0274391101369
1225,425.00000000000017,102.2858635988428,161.80186354423165,180.5821962185402
1005,50.0,63.51581111689994,60.662591928256475,62.305991872587285
2722,179.49000000000004,185.65912909285254,197.27795218204898,194.48151370932766
3164,55.00000000000002,115.7856277408613,78.52308742784292,74.34388929170758
1487,219.99999999999991,111.89575950061327,270.400633034089,295.53906882476184
534,211.53999999999996,137.57380644910427,143.4992195231023,143.40325937516596
1397,91.93999999999998,65.24924650928396,69.83570505061105,66.4828828516873
4059,60.00000000000001,65.87847525861342,66.65942744748716,66.13130132326641
334,78.49000000000001,66.61051577887075,75.7452749659765,76.20638849582056
1034,372.73,224.74631891435973,273.83444058560343,286.34061505349234
1789,133.32999999999996,137.13371414408172,135.71376627556,140.93997723229904
1737,69.00000000000003,80.78477149295362,76.83456827129848,72.23378591978323
1354,236.35999999999993,162.38988994954897,183.81735217996945,186.57220875949838
4443,70.0,72.221158145167,77.77577929016694,76.89459235983338
4447,186.6699999999999,186.192590457402,195.00623754198597,192.64783453058968
4047,82.99999999999999,80.08658793166916,72.69299304205958,72.05419508620788
1103,55.279999999999994,62.46308763678023,54.337386017737394,54.34851850996988
2552,176.67000000000004,152.49815312817498,150.8707184045771,149.92632936344245
61,70.82999999999997,67.34250935519877,67.42592244570763,67.72780719816218
4728,202.22,154.8987364642934,142.54154282872648,130.9825298808635
5790,71.42999999999999,83.65021281030067,77.85306159777559,79.8641187063429
4031,43.04,61.27159482243439,51.12489639920734,49.99422635664526
